date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:30	19299/19299	---M--	200	added ('OK')	text/html	etag:%224b63-56e309e6ab488%22	http://www.bricho.com/demo/brian/with-particles/index.html	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/index.html	(from )
07:43:30	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://www.bricho.com/robots.txt		(from )
07:43:31	14205/14205	---M--	200	added ('OK')	text/css	etag:%22377d-56a622ffcf700%22	http://www.bricho.com/demo/brian/with-particles/css/flexboxgrid.css	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/flexboxgrid.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:32	13490/13490	---M--	200	added ('OK')	text/css	etag:%2234b2-56e23586cf680%22	http://www.bricho.com/demo/brian/with-particles/css/styles.css	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/styles.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:32	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-56bf9479c2f00%22	http://www.bricho.com/demo/brian/with-particles/css/owl.carousel.min.css	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/owl.carousel.min.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:32	36599/36599	---MCZ	200	added ('OK')	text/css	etag:W/%22d1acb8ad33b1526acbfd3f0028b859b0%22	https://use.fontawesome.com/releases/v5.0.10/css/all.css	C:/My%20Web%20Sites/Portfolio/use.fontawesome.com/releases/v5.0.10/css/all.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:33	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-56bf9479c2f00%22	http://www.bricho.com/demo/brian/with-particles/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/owl.theme.default.min.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:33	7302/7302	---M--	200	added ('OK')	text/css	etag:%221c86-56c09dafbe500%22	http://www.bricho.com/demo/brian/with-particles/css/Magnific-Popup.css	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/css/Magnific-Popup.css	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:33	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://www.bricho.com/demo/brian/with-particles/downloads/example.txt	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/downloads/example.txt	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:44	112910/112910	---M--	200	added ('OK')	image/jpeg	etag:%221b90e-56d761c4e1100%22	http://www.bricho.com/demo/brian/with-particles/img/profile-pic2.jpeg	C:/My%20Web%20Sites/Portfolio/www.bricho.com/demo/brian/with-particles/img/profile-pic2.jpg	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:45	68/68	---M--	302	error ('Found')	text/plain	date:Tue,%2004%20Sep%202018%2007:43:38%20GMT	https://unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.js	C:/My%20Web%20Sites/Portfolio/unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.b.delayed	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:46	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Portfolio/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Sep%202018%2007:43:48%20GMT	http://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/Portfolio/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.d.delayed	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:47	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a75-xOWZTyTujI0s8tZgLwtWuQlqLpg%22	https://unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	C:/My%20Web%20Sites/Portfolio/unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
07:43:51	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/My%20Web%20Sites/Portfolio/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from http://www.bricho.com/demo/brian/with-particles/index.html)
